Sample,Prin1,Prin2,Prin3,Prin4
GA,0.014765811,0.000146398,0.001048913,-0.003058358
GA,0.016943858,0.000856853,0.000341021,0.000269753
GA,-0.023534414,-0.007577748,-0.000357116,0.004149529
GA,0.006782125,0.001765309,0.000625019,0.000956579
GA,0.001152714,-0.013973264,-0.001252912,0.005259122
GA,0.002873271,0.005858894,-0.000195437,0.004129622
GA,0.014145904,0.000162633,-0.000585883,0.00516254
GA,0.019838029,0.003225035,-0.000457236,0.003708038
GA,-0.005214221,0.010167679,7.12995E-06,0.004501261
GA,0.01879652,-0.000649634,-0.00059438,0.00354332
GA,0.011659158,-0.005574743,9.3579E-05,0.00155741
GA,0.019912844,0.004163835,0.000534193,-0.0004634
GA,0.005953278,-0.007082726,0.000231876,0.001007642
GA,0.020541083,0.001811217,-0.000521744,0.003791487
GA,-0.021658495,0.017107863,0.001302253,-0.00674296
GA,0.017949206,0.003647489,0.000242495,0.000875954
GA,0.016374411,0.001642605,-0.000256913,0.00325558
GA,0.010814772,0.002846312,0.001706296,-0.005246084
GA,0.006247799,-0.003569136,0.000168723,0.001045422
GA,-0.007397889,0.020320617,0.000572373,-0.001198978
GA,0.003909717,-0.004212996,0.000288921,0.002000154
GA,-0.012438506,-0.000241816,-0.001267329,0.010059096
GA,0.017067282,-0.000432366,-0.00031699,0.003573336
GA,0.021454266,0.002129954,-0.000721119,0.004865517
GA,0.009687044,0.003897684,0.001243191,-0.003689795
GA,0.007465189,-0.00960413,-0.000556482,0.004833519
GA,0.012734905,-0.010855643,-0.000554135,0.005208856
GA,0.021163223,0.003915304,-0.000505336,0.003404283
GA,0.000841326,0.015022491,0.001135227,-0.002115318
GA,0.004946395,-0.000260993,0.000125608,0.001782549
GA,0.014440133,-0.006487698,-0.000656547,0.004259375
GA,0.004779167,-0.002270873,0.000415217,0.001882797
GA,-0.014026449,0.003827304,0.00120425,-0.001578812
GA,0.000890207,-0.001680383,0.000392797,-0.001283847
GA,0.01013566,-0.00032208,-0.000378338,0.004328924
GA,0.01851482,0.002136848,-0.000415043,0.003851651
GA,0.004188081,-0.007278159,0.000264267,-8.36551E-05
GA,0.018709445,0.000839698,-0.000797946,0.004618326
GA,0.010259145,-0.000594209,0.001244096,-0.001927122
GA,0.005077355,-0.004619259,-6.83213E-05,0.002540957
GA,0.004447211,-0.004298283,0.00052702,0.000115336
GA,0.005141436,-0.002890555,0.000186842,-0.000179083
GA,0.008898719,-0.00660865,-4.64105E-05,0.001842003
GA,0.000109623,-0.007387678,-0.000820792,0.006006978
GA,0.01750531,0.000412231,-0.000451022,0.004186661
GA,0.017860801,0.00190944,0.000274979,0.000650869
GA,0.004945905,0.001616965,2.96541E-05,0.001740354
GA,0.007770248,0.004136127,0.000263629,0.000648434
GA,0.019832923,0.00246752,-0.000796126,0.004695576
GA,0.003408332,-0.002144834,0.000114,0.003008319
GA,0.019435634,0.000305899,0.000112183,0.001662109
GA,0.014635721,-0.0072866,-0.00051382,0.003669893
GA,0.02094606,0.001764109,-0.000906627,0.005150418
GA,0.004029209,0.00365641,0.001176803,-0.004061248
GA,0.008572954,-0.007604838,0.000844309,-0.001352218
GA,0.004398287,-0.001114927,0.001154124,-0.004275286
GA,0.010750675,-0.001093642,0.000293643,-0.001063337
GA,0.005267299,-0.00579559,0.000414816,-0.000806515
GA,-0.001826737,-0.015950845,-0.000315805,0.001532147
GA,0.017901823,0.00413021,-0.00039032,0.003675509
GA,0.006852191,0.006103803,0.000694561,-0.001655066
GA,0.02087606,0.003918565,-0.000346447,0.003101734
GA,-0.009125773,0.001646173,0.000404821,-0.003350148
GA,0.021493587,0.002234469,-0.000928076,0.005196514
GA,0.020687647,0.003957647,0.000408036,0.000218539
GA,0.019597089,0.000628837,-0.000807034,0.004916909
GA,0.010322445,-0.00614677,0.001333299,-0.003475749
GA,-0.007551978,-0.007291311,0.000519647,-0.001628713
GA,0.00961579,0.009268985,0.000402112,0.002184593
GA,0.018670696,0.001739379,2.59865E-05,0.002107834
GA,0.018755334,0.000293845,4.15319E-05,0.001453058
GA,0.008234153,0.004627165,0.00042675,-0.000839006
GA,0.020707297,0.003401802,-7.33776E-05,0.00224184
GA,0.003088883,-0.006106212,0.000784723,-0.001279522
GA,0.015582871,0.005093632,-0.000162949,0.002348222
GA,-0.000954366,-0.003443663,0.001302957,-0.005361573
GA,0.003927986,0.003797596,0.000964106,-0.002008343
GA,0.021868521,0.004152434,-0.000784889,0.004506916
GA,0.013830799,0.000826255,0.000988023,-0.002211231
GA,0.012632327,0.000122832,0.00066075,-0.000571733
GA,0.019387118,0.004776092,0.000177001,0.001887351
GA,0.003396641,-0.008509688,-0.001293706,0.008879064
GA,0.015405343,0.000445317,0.000480488,-0.00012082
GA,0.016608786,0.001791825,0.00090702,-0.001581854
GA,0.019924788,0.000864998,-0.000919914,0.005298716
GA,0.016979879,0.005441785,-0.000223549,0.003807115
GA,0.002308065,-0.011108305,9.35389E-05,0.001249453
GA,0.015696979,0.005282918,0.000329441,0.001189533
GA,-0.000920513,0.003676207,-0.000307523,0.001719734
GA,0.014782777,-0.002997751,0.000456165,0.000825397
GA,0.011096893,0.002635438,-0.00022659,0.002916125
GA,0.017070431,0.004743688,0.000886558,-0.000540508
GA,-0.001127505,0.002545922,0.001163755,-0.001082366
GA,0.009057877,0.004778372,0.000742512,-0.000286654
GA,-0.052946667,0.010582675,0.009451749,0.020941998
GA,-0.00600845,0.011292739,0.001412129,-0.001328668
GA,0.010618989,0.00499647,0.000466374,0.001154187
GA,0.020576986,0.001221728,-0.000864384,0.00496303
GA,0.005811666,-0.013007747,-0.000290631,0.004296105
GA,-0.005901973,-0.013287474,0.000265509,-0.003816142
GA,0.012368758,-0.007456301,-0.000170365,0.001955253
GA,0.007752866,0.000556364,-0.000328211,0.003849296
GA,0.012465652,0.003212384,0.000517913,0.001418678
GA,0.005421208,0.009033425,0.000451382,-2.26236E-05
GA,0.015234385,0.005284471,0.00094721,-0.001189488
GA,0.020660321,0.001300783,-0.000728125,0.004762037
GA,0.01266541,-0.002216152,0.001097636,-0.002287457
GA,-0.00170061,-0.001939677,0.000168656,0.001735044
GA,0.012852293,0.0020904,0.000270571,0.002089962
GA,0.008822809,0.001828827,0.001023711,-0.003382242
GA,0.022323443,0.003712065,-0.001091451,0.005677503
GA,0.019461499,0.001746972,0.000168576,0.001067599
